id,name,ssn,dob,start_date,kyc_date,net_worth
353786,William Bennett,701-02-4380,1962-05-08,2021-03-04,2024-06-04,370290.06
371485,Casey Peters,436-15-7775,1952-04-13,2020-11-18,2024-06-15,30414.22
341209,William Reynolds,720-47-8584,1983-09-19,2021-11-15,2024-05-05,604558.23
396912,Shane Gomez,107-97-7912,1977-03-27,2020-05-11,2024-04-11,919848.06
356301,Richard Christian,185-47-1585,1966-04-04,2021-05-23,2024-06-15,338141.22
335644,Amanda Velasquez,774-96-7593,1976-12-17,2024-03-22,2024-04-11,195109.75
370511,Bill Roberts,630-90-9319,1948-08-12,2023-11-04,2024-03-19,29616.83
334819,Susan Grimes,613-20-7448,1942-03-06,2022-04-11,2024-01-22,5331.38
371131,Mark Olson,550-27-6677,1964-06-01,2020-11-16,2024-01-13,257710.07
346138,Mary Gilbert,551-23-4134,1941-05-01,2023-10-12,2024-05-30,891913.85
309621,Crystal Hamilton,817-68-4972,2001-08-16,2021-04-12,2024-04-25,659206.68
361556,Emily Mendoza,691-53-2046,1970-06-05,2022-08-04,2024-05-26,696026.14
351850,Lauren Lopez,797-37-7756,1950-07-08,2023-07-19,2024-02-03,636650.25
350504,Darin Fernandez,387-52-9731,1993-04-16,2023-05-16,2024-03-16,248415.89
360972,Erica Williams,210-98-4894,1989-07-10,2022-06-18,2024-01-17,132286.61
337475,Nancy Contreras,835-56-4032,2001-02-09,2021-04-07,2024-02-07,768168.25
312507,Richard Wilson,332-36-9790,1941-05-23,2023-12-09,2024-02-19,243763.96
349354,Frank Smith,298-43-1009,2003-11-26,2020-10-15,2024-06-12,609222.94
307591,Allison Smith,015-71-0201,1934-10-23,2020-08-03,2024-01-09,925513.75
380214,Allison Martin,613-70-6230,1948-02-13,2021-01-06,2024-01-10,117190.45
323259,Manuel Maldonado,201-38-2836,1939-03-11,2021-04-01,2024-03-14,664795.36
350785,Karen Graham,795-89-7769,1982-04-08,2023-01-10,2024-05-11,938079.51
323364,Miguel Collins,478-53-7007,1989-05-07,2023-12-17,2024-04-30,656978.39
353332,James Goodwin,484-34-3193,1977-04-08,2021-08-04,2024-01-11,531053.7
388983,William Calderon,683-23-8752,1979-10-12,2024-04-04,2024-06-09,128912.47
365779,James Parrish,850-07-5555,1958-05-15,2021-12-15,2024-06-14,140174.38
315292,Richard Doyle,120-58-9710,1962-05-06,2024-01-20,2024-02-23,401674.03
300064,Erika Diaz,392-88-6501,1985-11-20,2020-09-02,2024-02-06,517832.38
305393,Sue Salazar,672-64-3559,1976-05-22,2023-02-25,2024-05-28,212610.88
316548,Brandi Green,056-44-7832,1937-02-11,2022-11-07,2024-06-09,742374.6
361067,Anthony Bennett,409-64-0573,1988-09-07,2024-02-15,2024-03-25,435535.84
301708,Paul Luna,365-36-4889,2003-07-16,2024-06-02,2024-04-03,829694.3
377913,Jennifer Green,499-91-4862,1988-11-17,2020-08-28,2024-01-27,896708.26
367691,Richard Hubbard,002-67-8178,1970-08-02,2022-12-08,2024-04-02,16407.87
389161,Christopher Foster,557-70-4593,1973-07-28,2024-02-28,2024-02-20,677759.16
391147,Lisa Short,502-98-3400,1980-11-19,2024-02-19,2024-06-21,369913.0
337252,Tracey Burnett,715-06-6842,1992-10-08,2022-06-28,2024-05-24,135509.73
358051,Amber Bishop,637-63-8033,1979-05-18,2020-01-10,2024-05-08,309320.98
329380,Leon White,617-14-2227,1939-08-22,2023-02-19,2024-01-26,861839.16
349430,Angela Murphy MD,605-15-8585,1948-03-05,2023-04-09,2024-06-04,71681.38
395518,John Holland,626-09-9993,1946-11-29,2022-05-28,2024-02-06,131703.07
388000,Kimberly Estrada,270-05-7919,1945-11-12,2021-05-17,2024-01-27,902187.08
380338,David Valencia,454-86-3247,1963-06-17,2024-02-09,2024-05-22,43313.05
334018,Brian Jones,043-19-7240,1969-03-09,2022-09-02,2024-05-14,795522.54
300160,Michael Hall,400-36-4602,1989-07-01,2023-03-06,2024-03-30,956043.41
303793,Randy Ortiz,006-15-9044,2002-08-06,2023-12-25,2024-01-30,210208.85
340072,Robert Velasquez,532-59-1475,1970-11-14,2022-03-28,2024-03-06,52716.56
329313,Vanessa Smith,162-51-5596,1949-02-09,2022-07-08,2024-02-11,752617.35
372363,Amber Collins,350-93-4109,1976-10-31,2023-01-18,2024-04-07,835306.19
347718,Jason Allen,053-92-7108,1975-02-27,2023-02-02,2024-06-04,8772.69
357780,Shawn Gomez,597-13-5322,1970-03-22,2022-03-04,2024-02-05,367812.68
355340,Ruth Gonzalez,055-56-9843,1950-05-01,2020-11-06,2024-04-19,614857.03
369525,Ian Dennis,399-19-7323,1952-06-25,2020-03-30,2024-07-04,799757.4
323785,Michael Allen Jr.,402-61-7941,1945-12-10,2023-03-11,2024-02-21,226143.79
300140,Emily Chapman,336-82-8937,1957-07-06,2020-06-07,2024-01-11,826360.98
387176,Samantha Eaton,246-78-4861,1938-01-07,2020-05-24,2024-06-18,904777.17
330851,Susan Bennett,752-27-2008,1969-08-03,2021-03-20,2024-01-27,8549.83
341950,Mark Cooke,790-04-1967,1935-02-03,2022-12-03,2024-04-23,708697.8
387957,Nicole Moore,881-26-4851,1970-06-24,2021-05-24,2024-05-15,668774.72
371595,Angela Wu,060-95-3360,1981-09-01,2023-02-28,2024-05-13,583496.76
358018,Gerald Roach,337-08-8612,1950-08-30,2021-03-22,2024-02-06,561434.16
339377,Jennifer Griffin,491-47-8499,2000-11-22,2021-08-21,2024-05-28,651194.44
328955,John Morton,002-10-3891,1979-12-07,2023-01-02,2024-04-16,235102.3
381902,Heather Farmer,472-93-3840,1963-06-26,2022-11-22,2024-03-05,666263.39
365062,Isaac Hardin,151-07-8103,1968-01-02,2020-07-15,2024-04-23,625286.84
380285,Elizabeth Jenkins,479-53-7208,1974-12-14,2020-06-29,2024-05-05,259976.46
329122,Sherry Walsh,271-55-4106,1957-09-27,2020-07-29,2024-04-02,11558.14
399311,Tony Jones,835-04-0983,1950-12-01,2021-03-28,2024-02-06,498064.01
341752,Dawn Maxwell,707-94-7865,2002-04-18,2021-04-03,2024-01-04,244857.07
300790,Melissa Russell,679-99-3208,1938-01-04,2020-08-04,2024-01-14,877408.46
307009,Michael Butler,227-14-7815,1945-05-20,2024-03-02,2024-04-14,897938.12
362610,Ryan Meyer,181-13-8066,1983-07-17,2020-01-28,2024-03-02,826542.19
373169,Justin Moore,727-27-0488,1991-02-25,2022-09-07,2024-07-02,532893.82
399993,James Hernandez,694-99-4680,2002-11-06,2020-06-25,2024-03-29,536376.64
385301,David Todd,703-95-3897,1933-07-14,2022-08-13,2024-04-05,882742.69
391583,Michael Merritt,298-14-0466,2000-08-18,2020-06-09,2024-07-03,231806.04
365328,Patricia Robinson,330-88-1836,1959-10-23,2022-12-04,2024-04-03,605491.55
302488,Alan Ray,145-94-1154,1981-08-17,2022-06-13,2024-02-23,166592.48
307392,William Black,804-66-1437,1984-05-31,2020-11-05,2024-05-11,350863.68
327037,Manuel Melendez,333-95-1852,1988-09-07,2023-03-07,2024-04-18,396315.87
355351,Eric Johnson,135-18-7809,1939-03-17,2023-05-05,2024-02-06,184188.09
316334,Jennifer Baldwin,826-39-8950,2004-11-02,2023-03-30,2024-01-15,481383.99
341396,Kyle Navarro,020-86-0757,1999-01-18,2022-12-26,2024-02-18,19642.69
360781,Kelsey Hernandez,056-65-1634,1971-02-14,2021-04-02,2024-05-29,160296.3
348917,Natalie Travis,766-16-4265,1977-04-18,2021-08-06,2024-03-30,276283.25
376043,Donald Krause,466-24-7455,1992-08-29,2023-03-25,2024-01-29,150345.53
357736,Alyssa Bryant,681-34-8257,1963-02-01,2021-01-30,2024-03-19,281950.32
316335,Mrs. Valerie Wilson,030-31-0928,1989-03-08,2021-11-30,2024-03-13,310530.46
358695,Chloe Preston,389-58-2338,1961-07-22,2021-02-06,2024-01-24,51467.85
397469,Gregory White,292-49-7102,2005-01-17,2024-05-28,2024-06-16,577228.1
339837,David Sanchez,534-01-9235,1986-01-15,2021-05-13,2024-03-06,258070.02
334937,Barbara Stone,691-87-5334,1944-10-22,2024-03-06,2024-01-25,531812.15
314955,Elizabeth Hamilton,360-38-3324,1947-02-11,2024-05-23,2024-04-06,155642.09
336860,Stephanie Murphy,256-63-0423,2001-09-20,2020-02-24,2024-03-27,864015.79
391759,Michael Zamora,680-69-3835,1985-02-05,2020-11-04,2024-04-15,294357.38
342751,Marc Vance,445-86-0460,1962-01-11,2023-05-10,2024-04-18,242106.29
360412,Susan Parks,084-37-0696,1939-12-17,2020-09-22,2024-06-04,187313.57
341205,Kristina Garrett,023-22-0966,1986-01-20,2021-10-04,2024-04-06,133105.08
306238,Brent Brown,412-55-8495,1994-01-31,2021-11-06,2024-07-03,636110.99
396293,Alexander Drake,211-71-6970,1947-07-26,2023-04-04,2024-04-20,252395.55
372908,John Baxter,470-92-6539,1977-10-05,2020-08-11,2024-04-02,419036.73
365792,Judith Martin,619-26-4233,1933-08-19,2020-04-07,2024-01-21,783841.37
378221,Katelyn Hall,818-32-1805,1952-02-04,2020-07-23,2024-05-06,283131.09
322278,Katelyn Cook,335-17-6949,1988-03-12,2023-01-12,2024-05-16,309482.73
338229,Willie Landry,142-60-3543,2002-08-14,2021-12-31,2024-04-17,87457.59
327588,David Sanchez,302-49-8494,1968-10-17,2024-04-12,2024-06-23,922236.89
328956,Mary Johnson,153-58-1463,2005-09-11,2023-03-17,2024-01-06,564118.38
322276,Tommy Osborne,510-41-6365,1978-05-21,2021-03-14,2024-03-04,933640.35
319961,Alejandro Herrera,025-45-4120,1960-04-01,2021-03-10,2024-02-27,552100.73
349677,Sandra Manning,679-54-3160,1970-09-22,2020-11-05,2024-06-14,486077.24
354069,Lisa Hall,216-87-0771,1982-10-06,2020-12-24,2024-01-11,175747.49
353438,Michelle Henderson,665-97-1691,1952-09-23,2020-12-03,2024-02-09,83638.39
377287,Wayne Carrillo,720-21-5595,1944-08-27,2020-04-06,2024-01-21,918144.52
309634,Steven Acosta,356-58-9236,1995-08-04,2023-10-27,2024-05-02,82520.91
379257,Jesse Patel,146-23-9993,1997-06-20,2021-08-21,2024-03-31,924909.77
353085,Alexander Murphy,413-88-7841,1944-12-25,2020-10-04,2024-05-12,357689.17
335378,Lauren Short,275-97-6982,1953-07-20,2022-03-08,2024-05-30,425187.83
305579,Theresa Mendoza,852-09-3428,1943-09-10,2020-08-22,2024-01-11,774648.93
350088,Joshua Barnes,305-38-1628,1986-08-19,2024-02-15,2024-05-04,128886.87
345733,Joseph Oneal,187-11-6846,1965-01-14,2022-12-08,2024-01-24,206356.73
311582,Blake Greer,201-51-2289,1949-03-14,2022-12-26,2024-03-27,450714.2
322662,Scott Washington,406-28-5710,1935-05-14,2021-05-23,2024-06-22,752063.37
394615,Brianna Sanchez,766-03-4554,1994-01-20,2020-07-07,2024-01-23,431193.38
398000,Thomas Mann,402-48-9265,2003-05-09,2020-04-10,2024-06-27,355429.04
310151,Jacob Oneal,359-05-2259,1953-05-30,2023-05-03,2024-01-29,218882.37
347946,Victoria Everett,051-23-2021,1939-02-09,2022-12-28,2024-06-29,126780.55
324735,Eric Kim,667-17-3663,1965-02-02,2022-04-29,2024-02-06,218969.92
335631,Emily Moore,557-05-4287,1981-08-14,2022-12-19,2024-06-13,170629.15
399624,Nicholas Morris,855-16-7415,1967-08-18,2021-03-29,2024-06-04,874044.45
393899,Peter Haynes,375-83-1614,2006-05-30,2021-08-24,2024-03-07,172009.15
348336,Amy Beck,637-19-2672,1937-01-15,2023-09-09,2024-03-06,724086.43
384242,Jennifer Riley,302-64-0043,1985-12-26,2020-07-18,2024-06-25,80096.79
378351,Regina Liu,788-42-6810,1982-07-28,2021-08-03,2024-01-02,133270.56
307374,Brittany Pineda,697-03-4222,1977-02-06,2022-01-21,2024-02-29,669620.73
302965,James Tucker,519-58-0149,1989-04-07,2023-08-13,2024-04-13,238803.99
382028,Brittany Perez,424-36-7471,1959-04-20,2022-06-25,2024-07-03,823635.16
323701,Keith Pruitt,168-14-6134,1940-06-23,2023-06-08,2024-03-31,51047.43
390726,Brian Mooney,306-46-7504,1971-09-03,2020-06-16,2024-04-17,557758.64
326869,John Stevens,077-68-9779,2004-04-03,2024-02-10,2024-04-25,339015.05
336872,Kathryn Lane,595-90-4421,1942-02-23,2021-06-07,2024-05-20,815924.9
380620,Garrett Fields,382-72-3362,1943-03-11,2022-04-06,2024-04-28,499236.11
348199,Richard Henry,479-62-9133,1941-10-11,2021-07-21,2024-01-02,607929.61
314046,Michele Sanchez,673-78-4924,2005-07-26,2022-10-30,2024-04-20,180603.6
396820,April Campbell,875-96-3137,1981-09-28,2022-07-03,2024-06-02,252035.86
393558,Latasha Underwood,498-64-5532,1981-01-19,2023-02-22,2024-05-29,913920.31
317774,Kathleen Lindsey,538-47-1608,1948-07-26,2021-02-14,2024-04-22,782990.56
393675,Deborah Smith,794-79-5799,1952-02-05,2022-03-17,2024-03-24,966281.58
385027,Casey Golden,199-44-3441,1988-09-16,2021-08-30,2024-02-02,378139.72
307684,Dan Lee,294-20-1148,1942-02-28,2020-06-17,2024-02-24,577043.39
336210,Laurie Larson,185-23-7299,1961-03-22,2022-11-26,2024-03-31,320924.47
379834,Tanya Brown,396-53-1427,1983-02-18,2023-11-26,2024-05-08,567141.96
392651,Brittany Richmond,725-37-7462,1942-10-03,2022-03-16,2024-05-28,291230.03
305684,Christina Bryant,133-24-8485,1975-11-15,2024-04-05,2024-01-08,761404.02
355040,Brian Howard,164-76-3240,2002-06-15,2022-10-30,2024-03-22,303418.65
393225,Brandon Moore,450-47-0586,1998-05-26,2023-12-20,2024-06-24,13752.72
383583,Jeremy Myers,182-06-8062,1950-07-14,2020-02-10,2024-03-03,222228.54
367902,Casey Guerrero,370-73-2053,1982-01-05,2022-09-16,2024-05-15,467313.31
399685,Victoria Martinez,479-99-4849,1946-11-16,2020-06-12,2024-05-05,594668.09
308380,David Ryan,073-40-4588,1993-02-18,2020-11-19,2024-05-06,357915.66
355745,Cynthia Torres,192-22-4854,1960-11-17,2021-03-20,2024-03-09,119065.81
319609,Joseph Barker,879-06-3567,1939-03-03,2023-01-21,2024-06-16,999135.78
349839,Samantha Davis,871-14-7983,2002-06-30,2021-10-02,2024-06-07,316838.14
340813,Lisa Ryan,555-29-8782,1955-03-28,2020-02-05,2024-04-05,627089.47
361749,John Williams,361-93-2294,1967-06-01,2023-10-20,2024-01-03,71687.01
352327,Stephanie Hardy,500-73-7066,1950-03-22,2020-06-03,2024-06-15,564541.58
393479,Jessica Manning,335-81-3098,1996-04-22,2022-09-12,2024-03-03,735870.43
302704,Seth Morris,779-45-4107,2006-02-14,2022-01-06,2024-06-24,413216.12
385001,Julie Chavez,037-01-7684,1987-04-09,2023-09-17,2024-04-20,997162.31
356790,James Singh,898-75-5274,1967-07-16,2020-10-09,2024-01-01,951942.09
326419,Patrick Wagner,331-70-6192,1936-02-17,2021-05-04,2024-05-04,967199.55
382626,Matthew Phelps,080-80-4923,1987-09-19,2021-10-23,2024-03-28,696699.51
302734,Larry Howell,719-30-1656,1958-05-20,2021-03-20,2024-03-29,105112.73
329219,Angela Fields,543-27-8254,1994-03-25,2023-01-07,2024-05-23,443017.68
301681,Kenneth Arias,490-36-6908,1976-04-11,2023-05-13,2024-05-16,570326.96
380301,Ellen Nguyen,640-87-8983,1985-09-07,2021-01-13,2024-03-11,449904.71
390459,Gregory Reyes,804-12-9318,1995-11-04,2022-06-29,2024-06-20,389141.71
387900,Patricia Phillips,077-60-0358,1982-08-26,2022-09-03,2024-01-11,369950.57
389817,Thomas Le,804-22-8627,1989-08-12,2021-09-25,2024-05-29,5893.72
332323,Shawn Bell,293-16-1732,1978-11-09,2022-01-16,2024-01-19,609399.53
369096,Benjamin Burton,352-75-3542,1957-06-15,2021-12-23,2024-04-23,54471.76
314580,Sandra Murphy,599-63-8570,2004-03-19,2020-05-26,2024-05-31,476106.47
354137,Ian Ramos,564-45-4868,2002-03-16,2021-05-28,2024-05-19,652923.14
323994,Daniel Aguilar,503-49-5951,1961-12-29,2023-03-18,2024-05-15,33415.37
393213,Luke Boyle,793-72-0448,1967-01-20,2021-09-05,2024-05-29,264658.2
356060,Karen Wilson,670-96-1400,2002-04-13,2024-06-26,2024-06-22,619075.07
301147,Jenny Summers,484-06-3867,1954-08-17,2021-05-31,2024-04-26,834267.66
390576,John Oconnor,830-88-5777,1972-08-09,2020-09-05,2024-01-15,269883.82
352335,Jacob Dunn,351-98-6539,1960-12-08,2024-05-31,2024-06-04,8307.5
339618,April Nguyen,747-47-8799,1998-01-22,2023-05-12,2024-02-10,484844.92
356667,John Williams,426-13-9832,2006-06-09,2024-04-26,2024-01-17,201920.06
382017,Ashley Walsh,604-03-0508,1986-06-16,2023-03-22,2024-02-08,346405.95
344737,Derek Kennedy,438-70-3028,1962-06-14,2024-03-26,2024-03-10,602064.84
376745,Tom Silva,341-61-1951,1972-07-17,2022-12-04,2024-01-05,240537.89
389378,Cindy Morrison DDS,069-05-9287,1939-02-15,2021-03-16,2024-02-15,723943.03
389670,Katherine Baxter,171-14-2572,1993-07-09,2023-08-14,2024-02-08,231033.44
333515,Robert Gentry,882-21-2233,1990-04-30,2022-05-07,2024-05-01,162992.45
365440,Justin Thomas,419-76-6227,1985-04-21,2021-06-09,2024-05-09,909993.78
351250,Robert Robinson,230-82-0132,1980-02-27,2020-12-28,2024-04-05,848229.41
301104,Alyssa Greer,689-33-6791,1948-04-09,2024-05-09,2024-04-17,918808.79
326902,Christopher Oconnell,634-32-0413,2002-06-19,2024-04-09,2024-06-14,921284.09
361775,Dean Campbell,252-10-0544,1969-12-22,2021-08-10,2024-06-26,143671.36
399452,Alison Montoya,112-04-1994,1954-08-30,2020-12-09,2024-01-23,811958.49
379578,Jason Davis,551-27-1713,1966-12-19,2023-05-25,2024-05-11,275703.78
341911,John Atkins,119-15-2776,2005-06-19,2020-10-31,2024-04-17,213432.2
340687,Robin Stevens,702-09-1894,1955-07-20,2021-02-28,2024-02-25,883504.49
377395,Crystal Morris,607-64-3829,1993-02-23,2020-04-04,2024-03-13,804985.81
326987,Gerald Jones,460-82-3992,1961-11-09,2022-08-10,2024-03-25,520776.01
337530,Nancy Curtis,856-91-6490,1992-05-15,2021-11-06,2024-06-12,641739.01
384776,Debra Taylor,209-59-4771,1972-05-01,2022-08-31,2024-04-19,71364.25
343195,Luis Aguirre,307-01-8291,1952-11-12,2022-09-15,2024-05-20,397467.57
399266,Daniel Burton,623-58-5721,1989-06-12,2023-01-06,2024-06-07,128603.43
391277,Gina Francis,144-36-7385,1971-11-28,2024-06-18,2024-03-19,707376.14
337615,Carl Spencer,099-40-4147,1984-11-15,2020-11-17,2024-04-19,860330.5
392505,James Smith,411-26-1749,1964-12-27,2023-05-11,2024-03-28,745301.95
389571,Nathaniel Conrad,140-09-7221,1934-06-08,2020-03-08,2024-02-29,731737.92
380813,John Mitchell,178-18-7907,1977-05-08,2022-08-26,2024-03-09,360170.92
341625,Edward Taylor,862-30-9158,1978-01-27,2020-08-03,2024-03-04,684153.38
388963,Isaac Williams,703-90-9509,1987-04-11,2020-07-03,2024-02-03,818779.92
320219,Michael Leonard,532-49-6638,1972-12-24,2024-01-28,2024-03-02,546810.19
380518,Michael Wyatt,325-53-1169,2003-06-10,2024-06-12,2024-06-15,734887.41
385986,David Johnson,579-78-4542,1997-03-07,2020-12-12,2024-06-18,545402.31
384964,Mr. Jonathan Gillespie,825-42-1296,1994-06-19,2020-03-05,2024-03-19,119212.68
326549,Megan Wright,599-71-5250,1994-02-24,2022-01-12,2024-03-14,654660.03
339509,Karla Mckay,224-94-2277,1981-02-25,2022-02-13,2024-05-19,38929.37
388814,Joshua Jordan,088-87-2070,1970-01-24,2022-01-29,2024-02-24,366425.67
393763,Stephanie White,586-81-1057,1934-09-18,2020-08-26,2024-06-13,599063.78
363096,Michelle Steele,325-53-4743,2002-04-27,2021-06-09,2024-04-16,345726.21
348428,Heather Joseph,376-32-2668,1965-10-27,2021-11-26,2024-01-11,221080.76
315855,Ronnie Lucas,815-63-0604,1975-12-19,2021-05-04,2024-03-11,62854.59
369893,James Todd,565-75-7905,1975-02-15,2020-12-29,2024-03-19,859033.98
307845,James Dorsey,325-72-4218,1984-03-01,2022-02-26,2024-04-16,112742.2
386824,Jill Torres,096-33-9463,1936-02-25,2020-11-08,2024-02-18,891721.96
331327,Paula Watkins,756-47-1475,1973-12-30,2023-07-26,2024-05-28,90477.37
301650,Carl Mcmahon,347-37-0713,2005-07-18,2022-03-08,2024-01-13,769831.64
345213,James Jackson MD,665-76-2277,1962-06-11,2023-01-08,2024-06-06,202318.72
393036,Stephen Goodman,163-12-4750,1960-12-03,2022-12-13,2024-01-25,441050.86
363853,Daniel Johnson,252-11-6272,1970-12-12,2024-05-15,2024-04-16,645376.04
330603,Steven Wright,344-03-8546,1934-09-18,2020-10-31,2024-02-04,529530.93
352759,Rebecca Bradford,047-44-2966,1952-06-22,2023-07-09,2024-06-14,933704.81
370127,Nicholas Schmidt,294-22-0230,1977-07-18,2021-03-24,2024-04-30,917077.51
376588,Elizabeth Campbell,852-24-7126,1997-06-14,2023-02-04,2024-01-06,389478.6
358663,Mrs. Olivia Johnson,655-97-0721,1983-12-03,2020-05-18,2024-04-13,861312.85
351024,Emily Strong,315-41-0106,1978-06-29,2023-09-17,2024-02-09,946527.44
307102,Troy Reed,703-23-1652,1983-08-29,2021-09-25,2024-02-01,742953.51
314703,Brandon Bennett,356-54-7706,1953-04-04,2022-01-07,2024-01-04,20482.78
312200,Heather Sandoval,879-41-9731,1940-02-16,2022-05-13,2024-05-16,951787.22
394572,William Edwards,803-68-1164,1938-09-21,2021-07-14,2024-05-23,940295.19
372055,Ruben Ochoa,079-37-8687,1939-06-05,2021-07-27,2024-05-12,842386.43
337136,Karen Berg,858-16-7946,1944-04-20,2023-04-22,2024-01-12,290741.76
356784,Jack Davis,754-36-3565,2005-01-25,2020-06-29,2024-05-18,904393.14
344004,Lance Smith,234-67-0889,1986-04-20,2023-03-10,2024-02-21,843901.88
374366,Theresa Johnson,092-23-2392,1985-12-28,2020-08-08,2024-04-19,707156.66
377826,Wayne Johnson,307-24-9628,1980-12-10,2022-05-12,2024-01-16,404037.41
375356,Craig Moore,855-85-5564,1953-12-27,2021-10-01,2024-01-04,13664.79
358938,Linda Palmer,523-14-1381,1973-08-12,2020-02-21,2024-04-13,850694.87
329826,Robert Moreno,229-97-6208,1975-09-27,2021-04-03,2024-06-14,867567.63
300801,Todd Hooper,325-94-5460,1953-09-26,2022-10-12,2024-03-11,85709.01
317316,Rebecca Dalton,566-71-2379,1967-07-27,2020-09-29,2024-05-27,825984.88
371055,Donna Oliver,508-44-8554,1957-05-28,2021-09-30,2024-01-24,46904.22
345543,Susan Leonard,070-08-5036,1982-05-21,2022-05-08,2024-03-22,258789.72
306973,Sergio Newman,535-16-5465,2004-08-10,2020-11-27,2024-01-31,990073.74
307822,Amy Boyd,685-50-1391,1983-03-14,2020-05-26,2024-07-03,36513.23
307633,Stephen Martin,383-26-0963,1952-01-11,2021-01-27,2024-06-21,754143.41
376177,Joshua Norton,211-96-4520,1991-05-15,2021-03-07,2024-06-30,807325.4
355557,Leah Gutierrez,420-21-0422,1935-03-13,2022-01-28,2024-04-20,930465.25
360344,Thomas Espinoza,878-30-4018,1951-04-18,2021-08-12,2024-01-30,435281.5
352361,Aaron Craig,557-50-7962,1978-08-21,2023-08-05,2024-02-23,259049.47
384079,Jill Kirby,129-83-1800,1988-11-12,2020-04-02,2024-04-03,221312.16
392433,Samantha Miller,179-49-7923,1964-04-21,2023-01-24,2024-06-12,512219.69
312898,Wendy Smith,508-79-8724,1999-07-10,2020-08-04,2024-01-28,311461.75
305429,Jodi Davidson,354-60-0082,1973-12-13,2024-03-12,2024-04-02,883636.66
389138,Larry Frey,260-54-8013,1977-11-17,2021-10-01,2024-06-07,530963.88
393403,Jackie Rivera,503-36-7855,1942-05-02,2022-12-27,2024-01-30,710898.94
336817,Kathleen Gutierrez,821-70-8889,1941-06-21,2021-07-14,2024-02-16,697017.01
333322,Christopher Braun,408-44-5700,1969-02-22,2020-12-08,2024-01-29,710070.09
382591,Joshua Kennedy,651-22-6134,1979-11-12,2020-01-25,2024-03-22,796199.94
356381,David Hawkins,697-74-1803,2000-03-25,2020-06-08,2024-04-06,102170.76
319959,Robert Guerrero,325-05-1073,1936-03-13,2024-03-07,2024-05-27,364170.38
333976,Cameron Wallace,363-30-0350,1947-10-25,2023-10-23,2024-03-07,107365.45
